Date,"Tornadoes","Fatalities"
199012,1140,53
199112,1133,39
199212,1302,39
199312,1174,109
199412,1085,48
199512,1236,34
199612,1172,26
199712,1149,68
199812,1428,130
199912,1342,94
200012,1073,41
200112,1212,37
200212,934,55
200312,1385,54
200412,1813,35
200512,1262,38
200612,1106,67
200712,1100,81
200812,1692,126
200912,1146,21
201012,1282,45
201112,1691,553
201212,938,70
201312,906,55
201412,886,47
201512,1177,36
201612,976,18
201712,1429,35
201812,1126,10
201912,1517,42
202012,1082,76
202112,1314,103
202212,1143,23
202312,1294*,83
